timestamp,building_name,sensor_name,sensor_value
2019-01-01T10:00:00Z,building1,pressure_1,107.4260
2019-01-01T10:00:00Z,building1,pressure_2,82.2464
2019-01-01T10:00:00Z,building1,pressure_3,68.8326
2019-01-01T10:00:00Z,building1,pressure_4,82.9828
2019-01-01T10:00:00Z,building1,pressure_5,118.4210
2019-01-01T10:00:00Z,building2,pressure_1,93.3252
2019-01-01T10:00:00Z,building2,pressure_2,107.4895
2019-01-01T10:00:00Z,building2,pressure_3,101.2728
2019-01-01T10:00:00Z,building2,pressure_4,103.6401
2019-01-01T10:00:00Z,building2,pressure_5,118.9729
2019-01-01T12:04:00Z,building1,pressure_1,95.4847
2019-01-01T12:04:00Z,building1,pressure_2,115.2700
2019-01-01T12:04:00Z,building1,pressure_3,92.5658
2019-01-01T12:04:00Z,building1,pressure_4,96.5299
2019-01-01T12:04:00Z,building1,pressure_5,108.9100
2019-01-01T12:04:00Z,building2,pressure_1,103.9656
2019-01-01T12:04:00Z,building2,pressure_2,99.8513
2019-01-01T12:04:00Z,building2,pressure_3,110.2489
2019-01-01T12:04:00Z,building2,pressure_4,81.7845
2019-01-01T12:04:00Z,building2,pressure_5,108.4648
2019-01-01T14:00:00Z,building1,pressure_1,108.2850
2019-01-01T14:00:00Z,building1,pressure_2,90.8498
2019-01-01T14:00:00Z,building1,pressure_3,113.5338
2019-01-01T14:00:00Z,building1,pressure_4,105.5288
2019-01-01T14:00:00Z,building1,pressure_5,105.9302
2019-01-01T14:00:00Z,building2,pressure_1,102.5381
2019-01-01T14:00:00Z,building2,pressure_2,108.5772
2019-01-01T14:00:00Z,building2,pressure_3,102.6563
2019-01-01T14:00:00Z,building2,pressure_4,104.3309
2019-01-01T14:00:00Z,building2,pressure_5,78.1749
2019-01-01T16:05:00Z,building1,pressure_1,97.5775
2019-01-01T16:05:00Z,building1,pressure_2,82.8489
2019-01-01T16:05:00Z,building1,pressure_3,103.1098
2019-01-01T16:05:00Z,building1,pressure_4,98.8703
2019-01-01T16:05:00Z,building1,pressure_5,89.1356
2019-01-01T16:05:00Z,building2,pressure_1,105.2351
2019-01-01T16:05:00Z,building2,pressure_2,76.1339
2019-01-01T16:05:00Z,building2,pressure_3,95.0577
2019-01-01T16:05:00Z,building2,pressure_4,94.7237
2019-01-01T16:05:00Z,building2,pressure_5,82.4337
2019-01-01T18:01:00Z,building1,pressure_1,105.2541
2019-01-01T18:01:00Z,building1,pressure_2,93.6006
2019-01-01T18:01:00Z,building1,pressure_3,93.2559
2019-01-01T18:01:00Z,building1,pressure_4,115.8786
2019-01-01T18:01:00Z,building1,pressure_5,82.7962
2019-01-01T18:01:00Z,building2,pressure_1,103.6058
2019-01-01T18:01:00Z,building2,pressure_2,109.8257
2019-01-01T18:01:00Z,building2,pressure_3,112.5301
2019-01-01T18:01:00Z,building2,pressure_4,100.2707
2019-01-01T18:01:00Z,building2,pressure_5,85.4824
2019-01-01T20:01:00Z,building1,pressure_1,80.7398
2019-01-01T20:01:00Z,building1,pressure_2,92.3059
2019-01-01T20:01:00Z,building1,pressure_3,98.0600
2019-01-01T20:01:00Z,building1,pressure_4,92.2915
2019-01-01T20:01:00Z,building1,pressure_5,96.3815
2019-01-01T20:01:00Z,building2,pressure_1,95.8819
2019-01-01T20:01:00Z,building2,pressure_2,86.6172
