item_id,sales,date
10_BABY_CARE,0.0,2022-07-06
10_BABY_CARE,0.0,2022-07-05
10_BABY_CARE,0.0,2022-07-04
10_BABY_CARE,0.0,2022-07-03
10_BABY_CARE,0.0,2022-07-02
10_BABY_CARE,0.0,2022-07-01
10_BABY_CARE,0.0,2022-06-30
10_BABY_CARE,0.0,2022-06-29
10_BABY_CARE,0.0,2022-06-28
10_BABY_CARE,0.0,2022-06-27
10_BABY_CARE,0.0,2022-06-26
10_BABY_CARE,0.0,2022-06-25
10_BABY_CARE,0.0,2022-06-24
10_BABY_CARE,0.0,2022-06-23
10_BABY_CARE,0.0,2022-06-22
10_BABY_CARE,0.0,2022-06-21
10_BABY_CARE,0.0,2022-06-20
10_BABY_CARE,0.0,2022-06-19
10_BABY_CARE,0.0,2022-06-18
10_BABY_CARE,0.0,2022-06-17
10_BABY_CARE,0.0,2022-06-16
10_BABY_CARE,0.0,2022-06-15
10_BABY_CARE,0.0,2022-06-14
10_BABY_CARE,0.0,2022-06-13
10_BABY_CARE,0.0,2022-06-12
10_BABY_CARE,0.0,2022-06-11
10_BABY_CARE,0.0,2022-06-10
10_BABY_CARE,0.0,2022-06-09
10_BABY_CARE,0.0,2022-06-08
10_BABY_CARE,0.0,2022-06-07
10_BABY_CARE,0.0,2022-06-06
10_BABY_CARE,0.0,2022-06-05
10_BABY_CARE,0.0,2022-06-04
10_BABY_CARE,0.0,2022-06-03
10_BABY_CARE,0.0,2022-06-02
10_BABY_CARE,0.0,2022-06-01
10_BABY_CARE,0.0,2022-05-31
10_BABY_CARE,0.0,2022-05-30
10_BABY_CARE,0.0,2022-05-29
10_BABY_CARE,0.0,2022-05-28
10_BABY_CARE,0.0,2022-05-27
10_BABY_CARE,0.0,2022-05-26
10_BABY_CARE,0.0,2022-05-25
10_BABY_CARE,0.0,2022-05-24
10_BABY_CARE,0.0,2022-05-23
10_BABY_CARE,0.0,2022-05-22
10_BABY_CARE,0.0,2022-05-21
10_BABY_CARE,0.0,2022-05-20
10_BABY_CARE,0.0,2022-05-19
10_BABY_CARE,0.0,2022-05-18
10_BABY_CARE,0.0,2022-05-17
10_BABY_CARE,0.0,2022-05-16
10_BABY_CARE,0.0,2022-05-15
10_BABY_CARE,0.0,2022-05-14
10_BABY_CARE,0.0,2022-05-13
10_BABY_CARE,0.0,2022-05-12
10_BABY_CARE,0.0,2022-05-11
10_BABY_CARE,0.0,2022-05-10
10_BABY_CARE,0.0,2022-05-09
10_BABY_CARE,0.0,2022-05-08
10_BABY_CARE,0.0,2022-05-07
